Subject,Date,ExpCode,IsGood,NTrials,NEVDir,NEVFName,NS2FName,PTBFName,EDFName,NCentreOut,NCueColour,NDiagonal
JerryLee,2008-11-04,radi,1,163,081104,radi_j_001_00+03.nev,radi_j_001_00+03.ns2,radi_j_001_00+03.ptbmat,radi_j_001_00+03.edf,0,0,0
JerryLee,2008-11-19,fmap,1,424,081106,datafile001.nev,datafile001.ns2,fmap_j_002_00+17.ptbmat,fmap_j_002_00+17.edf,0,0,0
JerryLee,2008-11-06,fmap,1,199,081106,fmap_j_001_00+13.nev,fmap_j_001_00+13.ns2,fmap_j_001_00+13.ptbmat,fmap_j_001_00+13.edf,0,0,0
JerryLee,2008-11-06,fmap,1,119,081106,fmap_j_001_00+14.nev,fmap_j_001_00+14.ns2,fmap_j_001_00+14.ptbmat,fmap_j_001_00+14.edf,0,0,0
JerryLee,2008-11-06,fmap,1,378,081106,fmap_j_001_00+15.nev,fmap_j_001_00+15.ns2,fmap_j_001_00+15.ptbmat,fmap_j_001_00+15.edf,0,0,0
JerryLee,2008-11-19,fmap,1,280,081119,datafile009.nev,datafile009.ns2,fmap_j_002_00+16.ptbmat,fmap_j_002_00+16.edf,0,0,0
JerryLee,2008-11-20,fmap,1,592,081120,fmap_j_002_00+18.nev,fmap_j_002_00+18.ns2,fmap_j_002_00+18.ptbmat,fmap_j_002_00+18.edf,0,0,0
JerryLee,2008-12-02,fmap,1,17,081202,fmap_j_002_00+26.nev,fmap_j_002_00+26.ns2,fmap_j_002_00+26.ptbmat,fmap_j_002_00+26.edf,0,0,0
JerryLee,2008-12-02,fmap,1,6,081202,fmap_j_002_00+27.nev,fmap_j_002_00+27.ns2,fmap_j_002_00+27.ptbmat,fmap_j_002_00+27.edf,0,0,0
JerryLee,2008-12-02,fmap,1,3,081202,fmap_j_002_00+28.nev,fmap_j_002_00+28.ns2,fmap_j_002_00+28.ptbmat,fmap_j_002_00+28.edf,0,0,0
JerryLee,2008-12-02,fmap,1,359,081202,fmap_j_002_00+30.nev,fmap_j_002_00+30.ns2,fmap_j_002_00+30.ptbmat,fmap_j_002_00+30.edf,0,0,0
JerryLee,2008-12-08,fmap,1,330,081208,fmap_j_002_00+34.nev,fmap_j_002_00+34.ns2,fmap_j_002_00+34.ptbmat,fmap_j_002_00+34.edf,0,0,0
JerryLee,2008-12-09,fmap,1,77,081209,fmap_j_002_00+36.nev,fmap_j_002_00+36.ns2,fmap_j_002_00+36.ptbmat,fmap_j_002_00+36.edf,0,0,0
JerryLee,2008-12-09,fmap,1,787,081209,fmap_j_002_00+37.nev,fmap_j_002_00+37.ns2,fmap_j_002_00+37.ptbmat,fmap_j_002_00+37.edf,0,0,0
JerryLee,2008-12-10,fmap,1,1000,081210,fmap_j_003_00+02.nev,fmap_j_003_00+02.ns2,fmap_j_003_00+02.ptbmat,fmap_j_003_00+02.edf,0,0,0
JerryLee,2008-12-11,fmap,1,1000,081211,fmap_j_004_00+01.nev,fmap_j_004_00+01.ns2,fmap_j_004_00+01.ptbmat,fmap_j_004_00+01.edf,0,0,0
JerryLee,2008-12-15,fmap,1,1221,081215,fmap_j_005_00+01.nev,fmap_j_005_00+01.ns2,fmap_j_005_00+01.ptbmat,fmap_j_005_00+01.edf,0,0,0
JerryLee,2008-12-16,fmap,1,10,081216,fmap_j_005_00+02.nev,fmap_j_005_00+02.ns2,fmap_j_005_00+02.ptbmat,fmap_j_005_00+02.edf,0,0,0
JerryLee,2008-12-16,fmap,1,868,081216,fmap_j_005_00+03.nev,fmap_j_005_00+03.ns2,fmap_j_005_00+03.ptbmat,fmap_j_005_00+03.edf,0,0,0
JerryLee,2008-12-17,fmap,1,1317,081217,fmap_j_006_00+01.nev,fmap_j_006_00+01.ns2,fmap_j_006_00+01.ptbmat,fmap_j_006_00+01.edf,0,0,0
JerryLee,2008-12-18,fmap,1,850,081218,fmap_j_007_00+01.nev,fmap_j_007_00+01.ns2,fmap_j_007_00+01.ptbmat,fmap_j_007_00+01.edf,0,0,0
JerryLee,2008-12-23,fmap,1,1071,081223,fmap_j_008_00+03.nev,fmap_j_008_00+03.ns2,fmap_j_008_00+03.ptbmat,fmap_j_008_00+03.edf,0,0,0
JerryLee,2008-12-24,sra1,1,30,081224,sra1_j_008_00+01.nev,sra1_j_008_00+01.ns2,sra1_j_008_00+01.ptbmat,sra1_j_008_00+01.edf,0,0,0
JerryLee,2008-12-24,sra1,1,113,081224,sra1_j_008_00+02.nev,sra1_j_008_00+02.ns2,sra1_j_008_00+02.ptbmat,sra1_j_008_00+02.edf,0,0,0
JerryLee,2008-12-24,sra1,1,27,081224,sra1_j_008_00+03.nev,sra1_j_008_00+03.ns2,sra1_j_008_00+03.ptbmat,sra1_j_008_00+03.edf,0,0,0
JerryLee,2008-12-24,sra1,1,34,081224,sra1_j_008_00+04.nev,sra1_j_008_00+04.ns2,sra1_j_008_00+04.ptbmat,sra1_j_008_00+04.edf,0,0,0
JerryLee,2008-12-24,sra1,1,36,081224,sra1_j_008_00+05.nev,sra1_j_008_00+05.ns2,sra1_j_008_00+05.ptbmat,sra1_j_008_00+05.edf,0,0,0
JerryLee,2008-12-24,sra1,1,769,081224,sra1_j_008_00+06.nev,sra1_j_008_00+06.ns2,sra1_j_008_00+06.ptbmat,sra1_j_008_00+06.edf,0,0,0
JerryLee,2008-12-25,sra1,1,166,081225,sra1_j_009_00+01.nev,sra1_j_009_00+01.ns2,sra1_j_009_00+01.ptbmat,sra1_j_009_00+01.edf,0,0,0
JerryLee,2008-12-25,sra1,1,11,081225,sra1_j_009_00+02.nev,sra1_j_009_00+02.ns2,sra1_j_009_00+02.ptbmat,sra1_j_009_00+02.edf,0,0,0
JerryLee,2008-12-25,sra1,1,2000,081225,sra1_j_009_00+03.nev,sra1_j_009_00+03.ns2,sra1_j_009_00+03.ptbmat,sra1_j_009_00+03.edf,0,0,0
JerryLee,2009-01-05,fmap,1,30,090105,fmap_j_010_00+01.nev,fmap_j_010_00+01.ns2,fmap_j_010_00+01.ptbmat,fmap_j_010_00+01.edf,0,0,0
JerryLee,2009-01-05,sra1,1,3,090105,sra1_j_010_00+02.nev,sra1_j_010_00+02.ns2,sra1_j_010_00+02.ptbmat,sra1_j_010_00+02.edf,0,0,0
JerryLee,2009-01-05,sra1,1,722,090105,sra1_j_010_00+03.nev,sra1_j_010_00+03.ns2,sra1_j_010_00+03.ptbmat,sra1_j_010_00+03.edf,0,0,0
JerryLee,2009-01-06,sra1,1,1856,090106,sra1_j_011_00+01.nev,sra1_j_011_00+01.ns2,sra1_j_011_00+01.ptbmat,sra1_j_011_00+01.edf,0,0,0
JerryLee,2009-01-08,sra1,1,1314,090108,sra1_j_013_00+01.nev,sra1_j_013_00+01.ns2,sra1_j_013_00+01.ptbmat,sra1_j_013_00+01.edf,0,0,0
JerryLee,2009-01-12,sra1,1,2000,090112,sra1_j_013_00+02.nev,sra1_j_013_00+02.ns2,sra1_j_013_00+02.ptbmat,sra1_j_013_00+02.edf,0,0,0
JerryLee,2009-01-13,sra1,1,1748,090113,sra1_j_014_00+01.nev,sra1_j_014_00+01.ns2,sra1_j_014_00+01.ptbmat,sra1_j_014_00+01.edf,0,0,0
JerryLee,2009-01-14,sra1,1,1688,090114,sra1_j_015_00+01.nev,sra1_j_015_00+01.ns2,sra1_j_015_00+01.ptbmat,sra1_j_015_00+01.edf,0,0,0
